time,acceleration_x,acceleration_y,acceleration_z,displacement_x,displacement_y,displacement_z,frequency
2025-08-06T08:06:30.263Z,"0,15","0,22","0,14",0,0,0,945
2025-08-06T08:06:31.921Z,"0,15","0,22","0,14",0,0,0,1005
2025-08-06T08:06:33.194Z,"0,15","0,22","0,14",0,0,0,1005
2025-08-06T08:06:35.601Z,"0,15","0,22","0,14",0,0,0,1005
2025-08-06T08:06:37.053Z,"0,15","0,22","0,14",9,0,0,810
2025-08-06T08:06:38.325Z,"0,15","0,22","0,14",9,0,0,810
2025-08-06T08:06:39.931Z,"0,15","0,23","0,14",0,0,0,1345
2025-08-06T08:06:41.183Z,"0,15","0,23","0,14",0,0,0,1345
2025-08-06T08:06:43.495Z,"0,15","0,23","0,14",0,0,0,1345
2025-08-06T08:06:45.006Z,"0,15","0,26","0,14",0,0,0,1110
2025-08-06T08:06:46.279Z,"0,15","0,26","0,14",0,0,0,1110
2025-08-06T08:06:47.944Z,"0,15","0,22","0,15",0,0,0,1890
2025-08-06T08:06:49.216Z,"0,15","0,22","0,15",0,0,0,1890
2025-08-06T08:06:51.625Z,"0,15","0,22","0,15",0,0,0,1890
2025-08-06T08:06:53.077Z,"0,15","0,23","0,16",49,0,0,910
2025-08-06T08:06:54.351Z,"0,15","0,23","0,16",49,0,0,910
2025-08-06T08:06:55.953Z,"0,15","0,22","0,15",9,0,0,455
2025-08-06T08:06:57.215Z,"0,15","0,22","0,15",9,0,0,455
2025-08-06T08:06:59.629Z,"0,15","0,22","0,15",9,0,0,455
2025-08-06T08:07:01.072Z,"0,15","0,25","0,15",0,0,0,40
2025-08-06T08:07:02.324Z,"0,15","0,25","0,15",0,0,0,40
2025-08-06T08:07:07.631Z,"0,15","0,22","0,14",0,0,0,1705
2025-08-06T08:07:09.071Z,"0,14","0,22","0,14",0,0,0,1145
2025-08-06T08:07:10.324Z,"0,14","0,22","0,14",0,0,0,1145
2025-08-06T08:07:15.532Z,"0,15","0,24","0,14",13,0,0,585
2025-08-06T08:07:17.042Z,"0,14","0,2","0,14",0,0,0,280
2025-08-06T08:07:18.306Z,"0,14","0,2","0,14",0,0,0,280
2025-08-06T08:07:19.987Z,"0,15","0,25","0,14",59,0,0,1840
2025-08-06T08:07:21.26Z,"0,15","0,25","0,14",59,0,0,1840
2025-08-06T08:07:23.667Z,"0,15","0,25","0,14",59,0,0,1840
2025-08-06T08:07:25.119Z,"0,15","0,2","0,14",0,0,0,1650
2025-08-06T08:07:26.382Z,"0,15","0,2","0,14",0,0,0,1650
2025-08-06T08:07:27.995Z,"0,14","0,21","0,14",0,0,0,1420
2025-08-06T08:07:29.247Z,"0,14","0,21","0,14",0,0,0,1420
2025-08-06T08:07:31.556Z,"0,14","0,21","0,14",0,0,0,1420
2025-08-06T08:07:33.061Z,"0,15","0,22","0,14",0,0,0,1560
2025-08-06T08:07:34.314Z,"0,15","0,22","0,14",0,0,0,1560
2025-08-06T08:07:36.007Z,"0,14","0,2","0,14",0,0,0,1775
2025-08-06T08:07:37.269Z,"0,14","0,2","0,14",0,0,0,1775
2025-08-06T08:07:39.674Z,"0,14","0,2","0,14",0,0,0,1775
2025-08-06T08:07:41.126Z,"0,14","0,23","0,14",0,0,0,2385
2025-08-06T08:07:42.389Z,"0,14","0,23","0,14",0,0,0,2385
2025-08-06T08:07:44.017Z,"0,15","0,21","0,14",0,0,0,1865
2025-08-06T08:07:45.28Z,"0,15","0,21","0,14",0,0,0,1865
2025-08-06T08:07:52.029Z,"1,12","1,24","0,62",251,166,1,75
2025-08-06T08:07:53.3Z,"1,12","1,24","0,62",251,166,1,75
2025-08-06T08:07:55.708Z,"1,12","1,24","0,62",251,166,1,75
2025-08-06T08:07:57.151Z,"0,14","0,21","0,14",0,0,0,2245
2025-08-06T08:07:58.404Z,"0,14","0,21","0,14",0,0,0,2245
2025-08-06T08:08:00.039Z,"0,14","0,23","0,14",0,0,0,840
2025-08-06T08:08:01.301Z,"0,14","0,23","0,14",0,0,0,840
2025-08-06T08:08:03.73Z,"0,14","0,23","0,14",0,0,0,840
2025-08-06T08:08:05.159Z,"0,85","0,83","0,43",16,37,1,40
2025-08-06T08:08:06.422Z,"0,85","0,83","0,43",16,37,1,40
2025-08-06T08:08:08.048Z,"0,2","0,24","0,15",196,172,0,2010
2025-08-06T08:08:09.3Z,"0,2","0,24","0,15",196,172,0,2010
2025-08-06T08:08:11.586Z,"0,2","0,24","0,15",196,172,0,2010
